contains_ai,Country/territory,Country/territory_label,impact_level,l0_concept,pub_type,publications,year
AI related,ALL,-- All countries --,All works,Geology,All publication types,672,2024
AI related,ALL,-- All countries --,All works,Geology,All publication types,346,2025
AI related,ALL,-- All countries --,All works,Geography,All publication types,22,2000
AI related,ALL,-- All countries --,All works,Geography,All publication types,26,2001
AI related,ALL,-- All countries --,All works,Geography,All publication types,83,2002
AI related,ALL,-- All countries --,All works,Geography,All publication types,71,2003
AI related,ALL,-- All countries --,All works,Geography,All publication types,84,2004
AI related,ALL,-- All countries --,All works,Geography,All publication types,85,2005
AI related,ALL,-- All countries --,All works,Geography,All publication types,105,2006
AI related,ALL,-- All countries --,All works,Geography,All publication types,149,2007
AI related,ALL,-- All countries --,All works,Geography,All publication types,176,2008
AI related,ALL,-- All countries --,All works,Geography,All publication types,190,2009
AI related,ALL,-- All countries --,All works,Geography,All publication types,192,2010
AI related,ALL,-- All countries --,All works,Geography,All publication types,185,2011
AI related,ALL,-- All countries --,All works,Geography,All publication types,193,2012
AI related,ALL,-- All countries --,All works,Geography,All publication types,153,2013
AI related,ALL,-- All countries --,All works,Geography,All publication types,163,2014
AI related,ALL,-- All countries --,All works,Geography,All publication types,151,2015
AI related,ALL,-- All countries --,All works,Geography,All publication types,148,2016
AI related,ALL,-- All countries --,All works,Geography,All publication types,138,2017
AI related,ALL,-- All countries --,All works,Geography,All publication types,196,2018
AI related,ALL,-- All countries --,All works,Geography,All publication types,276,2019
AI related,ALL,-- All countries --,All works,Geography,All publication types,304,2020
AI related,ALL,-- All countries --,All works,Geography,All publication types,361,2021
AI related,ALL,-- All countries --,All works,Geography,All publication types,345,2022
AI related,ALL,-- All countries --,All works,Geography,All publication types,376,2023
AI related,ALL,-- All countries --,All works,Geography,All publication types,337,2024
AI related,ALL,-- All countries --,All works,Geography,All publication types,168,2025
AI related,ALL,-- All countries --,All works,Materials science,All publication types,9,2000
AI related,ALL,-- All countries --,All works,Materials science,All publication types,24,2001
AI related,ALL,-- All countries --,All works,Materials science,All publication types,45,2002
AI related,ALL,-- All countries --,All works,Materials science,All publication types,31,2003
AI related,ALL,-- All countries --,All works,Materials science,All publication types,23,2004
AI related,ALL,-- All countries --,All works,Materials science,All publication types,43,2005
AI related,ALL,-- All countries --,All works,Materials science,All publication types,41,2006
AI related,ALL,-- All countries --,All works,Materials science,All publication types,36,2007
AI related,ALL,-- All countries --,All works,Materials science,All publication types,44,2008
AI related,ALL,-- All countries --,All works,Materials science,All publication types,67,2009
